采样日期,站点号,经度,纬度,采样层,样品编号,样品过滤体积,黑碳最佳估计值（假设非黑碳波长指数为5计算的）,总的吸收波长指数,,,,,,,,
DATE,site ,longitude,latitude,layer,sample name,V_filter(ml),C_bc_est_5,angst_tot,snow depth,bottom,denisty (g/ml),snow temperature,,,, 
20180109,104,82.62972222,45.57888889,1,Q398B,20,594.5067369,3.31,8,5,20,-12,,,,
,105,83.055,45.69527778,1,Q399N,40,297.8809933,2.475,22,5,25,-9,,,,
,,,,2,Q400N,20,879.9466162,2.055,,10,25,-11,,,,
,106,82.61611111,45.1775,1,Q401N,50,275.547777,1.865,7,5,13,-15,,,,
20180110,107,82.59861111,45.01611111,1,Q402N,40,282.2843914,1.85,5.5,5,12,-8,,,,
,108,81.76416667,44.86666667,1,Q403N,40,317.9085243,2.01,7,5,13,-9,,,,
20180111,109,82.52555556,44.56305556,1,Q404N,30,585.4707481,2.19,8,5,12,-9,,,,
,110,83.06,44.62972222,1,Q405N,40,440.0821108,1.445,4,3,18,-11,,,,
20180112,111,83.61555556,44.58388889,1,Q407N,40,315.0535848,2.085,7,1,,,,,,
,,83.61555556,44.58388889,2,Q406N,20,1076.994787,3.125,,5,11,-10,,,,
,112,84.4775,44.14111111,1,Q408N,40,100,2.28,19,5,18,-8,,,,
,,,,2,Q409N,50,43.06415579,2.305,,10,17,-6,,,,
20180113,113,85.395,44.27833333,1,Q410N,40,328.1868778,1.72,21,5,22,-6,,,,
,,,,2,Q411N,10,424.8671232,1.88,,10,21,-4.5,,,,
,114,85.05583333,44.54361111,1,Q412N,50,1318.448701,1.62,6,3,11,-9,,,,
20180114,115,86.75777778,44.04027778,1,Q413B,60,214.5153938,1.675,8,5,18,-6,,,,
,116,87.25416667,43.77638889,1,Q414N,15,1851.656443,1.37,9.5,2,,,,,,
,,,,2,Q415N,5,5277.746383,1.195,,8,12,-9,,,,
20180115,117,87.31416667,43.52166667,1,Q416N,40,224,1.69,20,3,12,-7,,,,
,,,,2,Q417N,30,868.9855649,2.145,,8,18,-10,,,,
,118,87.52655,43.62901667,1,Q418N,15,1827.197997,2.695,16,5,25,-9,,,,
,,,,2,Q419N,30,310.5937376,2.47,,10,18,-9,,,,
20180116,119,88.70638889,44.22138889,1,Q420N,100,88.98737271,1.515,4.5,3,10,-12,,,,
20180117,120,89.56777778,46.50777778,1,Q421N,40,44.22462129,2.445,12.5,5,12,-29,,,,
,,,,2,Q422N,40,384.0938293,2.88,,10,18,-28,,,,
,121,88.56444444,47.20416667,1,Q423N,50,76.69798334,1.855,8,5,16,-12,,,,
20180118,122,87.38111111,47.45638889,1,Q424N,60,253.8302256,1.875,3.5,2,18,-14,,,,
,123,86.28361111,47.88888889,1,Q425N,40,86.22152369,2.49,8,5,21,-11,,,,
20180119,124,86.27138889,47.28638889,1,Q426N,60,42.12056152,2.545,5,3,21,-12,,,,
,125,86.30861111,46.85472222,1,Q427N,50,79.20850546,2.42,6,4,20,-11,,,,
,126,85.68638889,46.86777778,1,Q428N_1,30,427.1751969,2.77,13,3,21,-13,,,,
20180120,127,85.935,46.38333333,1,Q429N,40,198.9870699,1.81,6.5,4,18,-13,,,,
,128,85.4975,45.95111111,1,Q430N,60,120.9767666,1.525,4.5,3,16,-13,,,,
20180121,129,85.45722222,45.47222222,1,Q431N,60,81.15971251,1.825,3,2,13,-11,,,,
,130,87.75527778,45.22583333,1,Q432N,50,163.1228466,2.015,8,5,22,-12,,,,
20180122,131,89.625,44.03694444,1,Q433N,30,1822.706613,1.315,17,5,19,-12.5,,,,
,,,,2,Q434N,40,543.296701,2.355,,10,23,-13,,,,
